,time_crime_hour,location_description,cnt,__fileposition__
816,7,"JAIL / LOCK-UP FACILITY",37,30699
817,7,"DELIVERY TRUCK",34,30742
818,7,"LIBRARY",28,30776
819,7,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",25,30803
820,7,"AIRPORT VENDING ESTABLISHMENT",23,30865
821,7,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",22,30914
822,7,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",20,30981
823,7,"COIN OPERATED MACHINE",20,31044
824,7,"POOL ROOM",20,31085
825,7,"AIRPORT PARKING LOT",19,31114
826,7,"HOUSE",18,31153
827,7,"COLLEGE/UNIVERSITY RESIDENCE HALL",17,31178
828,7,"LAKEFRONT/WATERFRONT/RIVERBANK",17,31231
829,7,"AUTO",17,31281
830,7,"HIGHWAY/EXPRESSWAY",17,31305
831,7,"APPLIANCE STORE",17,31343
832,7,"FEDERAL BUILDING",16,31378
833,7,"AIRPORT EXTERIOR - NON-SECURE AREA",14,31414
834,7,"BOAT/WATERCRAFT",13,31468
835,7,"ANIMAL HOSPITAL",13,31503
836,7,"NEWSSTAND",12,31538
837,7,"AIRCRAFT",12,31567
838,7,"MOVIE HOUSE/THEATER",11,31595
839,7,"BRIDGE",10,31634
840,7,"AIRPORT EXTERIOR - SECURE AREA",6,31660
841,7,"AIRPORT TRANSPORTATION SYSTEM (ATS)",6,31710
842,7,"VEHICLE - OTHER RIDE SERVICE",6,31765
843,7,"YARD",5,31813
844,7,"FOREST PRESERVE",5,31837
845,7,"PARKING LOT",5,31872
846,7,"SAVINGS AND LOAN",5,31903
847,7,"CREDIT UNION",4,31939
848,7,"VACANT LOT",3,31971
849,7,"PAWN SHOP",3,32001
850,7,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",3,32030
851,7,"GARAGE",3,32094
852,7,"CTA TRACKS - RIGHT OF WAY",3,32120
853,7,"CEMETARY",2,32165
854,7,"RETAIL STORE",2,32193
855,7,"GANGWAY",2,32225
856,7,"PORCH",2,32252
857,7,"VEHICLE - DELIVERY TRUCK",1,32277
858,7,"STAIRWELL",1,32321
859,7,"CHA GROUNDS",1,32350
860,7,"CHA PARKING LOT",1,32381
861,7,"COACH HOUSE",1,32416
862,7,"CTA PROPERTY",1,32447
863,8,"STREET",48645,32479
864,8,"RESIDENCE",47995,32505
865,8,"APARTMENT",27687,32534
866,8,"SCHOOL, PUBLIC, BUILDING",12226,32563
867,8,"SIDEWALK",9855,32607
868,8,"OTHER",8846,32635
869,8,"PARKING LOT/GARAGE(NON.RESID.)",7385,32660
870,8,"RESIDENCE-GARAGE",5454,32710
871,8,"ALLEY",2917,32746
872,8,"RESIDENCE PORCH/HALLWAY",2853,32771
873,8,"VEHICLE NON-COMMERCIAL",2738,32814
874,8,"SCHOOL, PUBLIC, GROUNDS",2726,32856
875,8,"COMMERCIAL / BUSINESS OFFICE",2365,32899
876,8,"GROCERY FOOD STORE",2361,32947
877,8,"RESIDENTIAL YARD (FRONT/BACK)",2146,32985
878,8,"SMALL RETAIL STORE",1799,33034
879,8,"CHA PARKING LOT/GROUNDS",1678,33072
880,8,"GAS STATION",1677,33115
881,8,"RESTAURANT",1650,33146
882,8,"CTA PLATFORM",1417,33176
883,8,"BANK",1254,33208
884,8,"CHA APARTMENT",1195,33232
885,8,"AIRPORT/AIRCRAFT",1079,33265
886,8,"DRUG STORE",942,33301
887,8,"CTA TRAIN",885,33331
888,8,"CHA HALLWAY/STAIRWELL/ELEVATOR",842,33360
889,8,"HOSPITAL BUILDING/GROUNDS",830,33410
890,8,"SCHOOL, PRIVATE, BUILDING",805,33455
891,8,"HOTEL/MOTEL",790,33500
892,8,"PARK PROPERTY",786,33531
893,8,"GOVERNMENT BUILDING/PROPERTY",766,33564
894,8,"CTA BUS",725,33612
895,8,"VACANT LOT/LAND",698,33639
896,8,"DEPARTMENT STORE",680,33674
897,8,"POLICE FACILITY/VEH PARKING LOT",659,33710
898,8,"CTA GARAGE / OTHER PROPERTY",620,33761
899,8,"NURSING HOME/RETIREMENT HOME",583,33808
900,8,"DRIVEWAY - RESIDENTIAL",526,33856
901,8,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",515,33898
902,8,"CONSTRUCTION SITE",437,33951
903,8,"WAREHOUSE",423,33988
904,8,"CURRENCY EXCHANGE",375,34017
905,8,"ABANDONED BUILDING",326,34054
906,8,"ATHLETIC CLUB",298,34092
907,8,"FACTORY/MANUFACTURING BUILDING",293,34125
908,8,"SCHOOL, PRIVATE, GROUNDS",286,34175
909,8,"CONVENIENCE STORE",274,34219
910,8,"ATM (AUTOMATIC TELLER MACHINE)",267,34256
911,8,"MEDICAL/DENTAL OFFICE",246,34306
912,8,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",238,34347
913,8,"COLLEGE/UNIVERSITY GROUNDS",216,34409
914,8,"CTA BUS STOP",208,34455
915,8,"OTHER RAILROAD PROP / TRAIN DEPOT",203,34487
916,8,"DAY CARE CENTER",200,34540
917,8,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",176,34575
918,8,"VEHICLE-COMMERCIAL",176,34641
919,8,"TAVERN/LIQUOR STORE",161,34679
920,8,"BARBERSHOP",159,34718
921,8,"CLEANING STORE",148,34748
922,8,"FIRE STATION",142,34782
923,8,"",135,34814
924,8,"TAXICAB",132,34834
925,8,"OTHER COMMERCIAL TRANSPORTATION",109,34861
926,8,"CTA STATION",102,34912
927,8,"BAR OR TAVERN",91,34943
928,8,"CAR WASH",88,34976
929,8,"SPORTS ARENA/STADIUM",74,35004
930,8,"DELIVERY TRUCK",58,35044
931,8,"LIBRARY",52,35078
932,8,"AIRPORT VENDING ESTABLISHMENT",40,35105
933,8,"AIRPORT PARKING LOT",36,35154
934,8,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",34,35193
935,8,"JAIL / LOCK-UP FACILITY",33,35259
936,8,"FEDERAL BUILDING",32,35302
937,8,"POOL ROOM",31,35338
938,8,"ANIMAL HOSPITAL",31,35367
939,8,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",30,35402
940,8,"CREDIT UNION",28,35469
941,8,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",27,35501
942,8,"COIN OPERATED MACHINE",27,35564
943,8,"COLLEGE/UNIVERSITY RESIDENCE HALL",26,35605
944,8,"APPLIANCE STORE",25,35658
945,8,"LAKEFRONT/WATERFRONT/RIVERBANK",22,35693
946,8,"HIGHWAY/EXPRESSWAY",21,35743
947,8,"AIRCRAFT",21,35781
948,8,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",18,35809
949,8,"BOAT/WATERCRAFT",17,35871
950,8,"AIRPORT EXTERIOR - NON-SECURE AREA",17,35906
951,8,"AUTO",16,35960
952,8,"CEMETARY",16,35984
953,8,"SAVINGS AND LOAN",14,36012
954,8,"NEWSSTAND",13,36048
955,8,"HOUSE",13,36077
956,8,"FOREST PRESERVE",10,36102
957,8,"AIRPORT TRANSPORTATION SYSTEM (ATS)",9,36137
958,8,"MOVIE HOUSE/THEATER",7,36192
959,8,"VEHICLE - OTHER RIDE SERVICE",7,36231
960,8,"BRIDGE",6,36279
961,8,"PORCH",6,36305
962,8,"AIRPORT EXTERIOR - SECURE AREA",6,36330
963,8,"YARD",6,36380
964,8,"PAWN SHOP",4,36404
965,8,"HALLWAY",4,36433
966,8,"PARKING LOT",4,36460
967,8,"RETAIL STORE",4,36491
968,8,"BOWLING ALLEY",3,36523
969,8,"OFFICE",3,36556
970,8,"CHA GROUNDS",3,36582
971,8,"RAILROAD PROPERTY",3,36613
972,8,"GARAGE",3,36650
973,8,"VACANT LOT",3,36676
974,8,"CTA TRACKS - RIGHT OF WAY",3,36706
975,8,"NURSING HOME",2,36751
976,8,"GANGWAY",2,36783
977,8,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",2,36810
978,8,"LAUNDRY ROOM",1,36874
979,8,"WOODED AREA",1,36906
980,8,"RIVER BANK",1,36937
981,8,"VEHICLE - DELIVERY TRUCK",1,36967
982,8,"PUBLIC HIGH SCHOOL",1,37011
983,8,"CHA LOBBY",1,37049
984,8,"CHA HALLWAY",1,37078
985,8,"SCHOOL YARD",1,37109
986,8,"CTA ""L"" PLATFORM",1,37140
987,8,"BASEMENT",1,37176
988,8,"GAS STATION DRIVE/PROP.",1,37204
989,8,"TAVERN",1,37247
990,9,"RESIDENCE",69169,37273
991,9,"STREET",51981,37302
992,9,"APARTMENT",32471,37328
993,9,"SCHOOL, PUBLIC, BUILDING",15825,37357
994,9,"OTHER",13876,37401
995,9,"SIDEWALK",12118,37426
996,9,"PARKING LOT/GARAGE(NON.RESID.)",7978,37454
997,9,"RESIDENCE-GARAGE",5600,37504
998,9,"BANK",4152,37540
999,9,"COMMERCIAL / BUSINESS OFFICE",4062,37564
1000,9,"RESIDENCE PORCH/HALLWAY",3784,37612
1001,9,"SMALL RETAIL STORE",3723,37655
1002,9,"ALLEY",3447,37693
1003,9,"VEHICLE NON-COMMERCIAL",3261,37718
1004,9,"GROCERY FOOD STORE",3227,37760
1005,9,"RESIDENTIAL YARD (FRONT/BACK)",2497,37798
1006,9,"RESTAURANT",2322,37847
1007,9,"CHA PARKING LOT/GROUNDS",2203,37877
1008,9,"GAS STATION",2000,37920
1009,9,"DEPARTMENT STORE",1713,37951
1010,9,"SCHOOL, PUBLIC, GROUNDS",1581,37987
1011,9,"CTA PLATFORM",1484,38030
1012,9,"CHA APARTMENT",1482,38062
1013,9,"DRUG STORE",1437,38095
1014,9,"CHA HALLWAY/STAIRWELL/ELEVATOR",1182,38125
1015,9,"GOVERNMENT BUILDING/PROPERTY",1172,38175
1016,9,"VACANT LOT/LAND",1109,38223
1017,9,"HOSPITAL BUILDING/GROUNDS",1094,38258
1018,9,"HOTEL/MOTEL",1033,38303
1019,9,"PARK PROPERTY",1028,38334
1020,9,"AIRPORT/AIRCRAFT",1027,38367
1021,9,"SCHOOL, PRIVATE, BUILDING",1014,38403
1022,9,"POLICE FACILITY/VEH PARKING LOT",864,38448
1023,9,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",794,38499
1024,9,"NURSING HOME/RETIREMENT HOME",748,38552
1025,9,"CURRENCY EXCHANGE",689,38600
1026,9,"ATM (AUTOMATIC TELLER MACHINE)",687,38637
1027,9,"CTA BUS",673,38687
1028,9,"CTA TRAIN",638,38714
1029,9,"ABANDONED BUILDING",594,38743
1030,9,"CTA GARAGE / OTHER PROPERTY",582,38781
1031,9,"DRIVEWAY - RESIDENTIAL",542,38828
1032,9,"WAREHOUSE",530,38870
1033,9,"MEDICAL/DENTAL OFFICE",514,38899
1034,9,"CONSTRUCTION SITE",494,38940
1035,9,"COLLEGE/UNIVERSITY GROUNDS",403,38977
1036,9,"CONVENIENCE STORE",379,39023
1037,9,"ATHLETIC CLUB",346,39060
1038,9,"FACTORY/MANUFACTURING BUILDING",335,39093
1039,9,"TAVERN/LIQUOR STORE",270,39143
1040,9,"LIBRARY",267,39182
1041,9,"VEHICLE-COMMERCIAL",248,39209
1042,9,"BARBERSHOP",238,39247
1043,9,"SCHOOL, PRIVATE, GROUNDS",228,39277
1044,9,"DAY CARE CENTER",209,39321
1045,9,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",197,39356
1046,9,"CTA BUS STOP",193,39418
1047,9,"",173,39450
1048,9,"CLEANING STORE",164,39470
1049,9,"OTHER RAILROAD PROP / TRAIN DEPOT",152,39504
1050,9,"TAXICAB",142,39557
1051,9,"CTA STATION",140,39584
1052,9,"BAR OR TAVERN",138,39615
1053,9,"OTHER COMMERCIAL TRANSPORTATION",138,39648
1054,9,"CAR WASH",115,39699
1055,9,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",100,39727
1056,9,"SPORTS ARENA/STADIUM",89,39793
1057,9,"DELIVERY TRUCK",71,39833
1058,9,"APPLIANCE STORE",69,39867
1059,9,"FEDERAL BUILDING",68,39902
1060,9,"CREDIT UNION",68,39938
1061,9,"COLLEGE/UNIVERSITY RESIDENCE HALL",63,39970
1062,9,"FIRE STATION",56,40023
1063,9,"POOL ROOM",54,40055
1064,9,"ANIMAL HOSPITAL",54,40084
1065,9,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",40,40119
1066,9,"JAIL / LOCK-UP FACILITY",40,40186
1067,9,"AIRPORT VENDING ESTABLISHMENT",36,40229
1068,9,"HOUSE",32,40278
1069,9,"PAWN SHOP",31,40303
1070,9,"LAKEFRONT/WATERFRONT/RIVERBANK",31,40332
1071,9,"SAVINGS AND LOAN",31,40382
1072,9,"COIN OPERATED MACHINE",31,40418
1073,9,"AIRPORT EXTERIOR - NON-SECURE AREA",31,40459
1074,9,"AIRPORT PARKING LOT",28,40513
1075,9,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",25,40552
1076,9,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",23,40614
1077,9,"BOAT/WATERCRAFT",22,40680
1078,9,"HIGHWAY/EXPRESSWAY",21,40715
1079,9,"AUTO",20,40753
1080,9,"MOVIE HOUSE/THEATER",17,40777
1081,9,"BRIDGE",15,40816
1082,9,"CEMETARY",15,40842
1083,9,"AIRCRAFT",12,40870
1084,9,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",12,40898
1085,9,"AIRPORT EXTERIOR - SECURE AREA",12,40961
1086,9,"VEHICLE - OTHER RIDE SERVICE",9,41011
1087,9,"NEWSSTAND",8,41059
1088,9,"VACANT LOT",8,41088
1089,9,"PORCH",7,41118
1090,9,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",7,41143
1091,9,"BOWLING ALLEY",5,41207
1092,9,"FOREST PRESERVE",5,41240
1093,9,"CTA TRACKS - RIGHT OF WAY",5,41275
1094,9,"PARKING LOT",5,41320
1095,9,"YARD",4,41351
1096,9,"GARAGE/AUTO REPAIR",4,41375
1097,9,"VEHICLE - DELIVERY TRUCK",4,41413
1098,9,"HALLWAY",3,41457
1099,9,"AIRPORT TRANSPORTATION SYSTEM (ATS)",3,41484
1100,9,"DUMPSTER",3,41539
1101,9,"GANGWAY",2,41567
1102,9,"HOSPITAL",2,41594
1103,9,"GARAGE",2,41622
1104,9,"SCHOOL YARD",1,41648
1105,9,"CHA HALLWAY",1,41679
1106,9,"DRIVEWAY",1,41710
1107,9,"TAVERN",1,41738
1108,9,"TRUCK",1,41764
1109,9,"TRUCKING TERMINAL",1,41789
1110,9,"OFFICE",1,41826
1111,9,"VESTIBULE",1,41852
1112,9,"WOODED AREA",1,41881
1113,10,"RESIDENCE",56594,41912
1114,10,"STREET",52993,41941
1115,10,"APARTMENT",29271,41967
1116,10,"SIDEWALK",19491,41996
1117,10,"SCHOOL, PUBLIC, BUILDING",15825,42024
1118,10,"OTHER",12444,42068
1119,10,"PARKING LOT/GARAGE(NON.RESID.)",7911,42093
1120,10,"SMALL RETAIL STORE",5754,42143
1121,10,"ALLEY",4751,42181
1122,10,"RESIDENCE-GARAGE",4472,42206
1123,10,"RESIDENCE PORCH/HALLWAY",4305,42242
1124,10,"GROCERY FOOD STORE",3853,42285
1125,10,"VEHICLE NON-COMMERCIAL",3643,42323
1126,10,"COMMERCIAL / BUSINESS OFFICE",2974,42365
1127,10,"DEPARTMENT STORE",2963,42413
1128,10,"RESTAURANT",2688,42449
1129,10,"CHA PARKING LOT/GROUNDS",2582,42479
1130,10,"RESIDENTIAL YARD (FRONT/BACK)",2499,42522
1131,10,"GAS STATION",2325,42571
1132,10,"BANK",2082,42602
1133,10,"CTA PLATFORM",1655,42626
1134,10,"DRUG STORE",1655,42658
1135,10,"CHA APARTMENT",1529,42688
1136,10,"GOVERNMENT BUILDING/PROPERTY",1323,42721
1137,10,"VACANT LOT/LAND",1310,42769
1138,10,"PARK PROPERTY",1300,42804
1139,10,"CHA HALLWAY/STAIRWELL/ELEVATOR",1149,42837
1140,10,"SCHOOL, PUBLIC, GROUNDS",1081,42887
1141,10,"HOSPITAL BUILDING/GROUNDS",1051,42930
1142,10,"HOTEL/MOTEL",1046,42975
1143,10,"SCHOOL, PRIVATE, BUILDING",920,43006
1144,10,"POLICE FACILITY/VEH PARKING LOT",853,43051
1145,10,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",796,43102
1146,10,"ABANDONED BUILDING",721,43155
1147,10,"AIRPORT/AIRCRAFT",721,43193
1148,10,"CTA BUS",682,43229
1149,10,"NURSING HOME/RETIREMENT HOME",660,43256
1150,10,"CURRENCY EXCHANGE",655,43304
1151,10,"CTA TRAIN",653,43341
1152,10,"CTA GARAGE / OTHER PROPERTY",625,43370
1153,10,"WAREHOUSE",548,43417
1154,10,"DRIVEWAY - RESIDENTIAL",516,43446
1155,10,"CONVENIENCE STORE",505,43488
1156,10,"CONSTRUCTION SITE",503,43525
1157,10,"MEDICAL/DENTAL OFFICE",492,43562
1158,10,"ATHLETIC CLUB",416,43603
1159,10,"TAVERN/LIQUOR STORE",376,43636
1160,10,"COLLEGE/UNIVERSITY GROUNDS",364,43675
1161,10,"FACTORY/MANUFACTURING BUILDING",362,43721
1162,10,"LIBRARY",344,43771
1163,10,"ATM (AUTOMATIC TELLER MACHINE)",297,43798
1164,10,"BARBERSHOP",279,43848
1165,10,"VEHICLE-COMMERCIAL",260,43878
1166,10,"OTHER RAILROAD PROP / TRAIN DEPOT",211,43916
1167,10,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",207,43969
1168,10,"CTA BUS STOP",187,44031
1169,10,"CLEANING STORE",186,44063
1170,10,"SCHOOL, PRIVATE, GROUNDS",177,44097
1171,10,"",174,44141
1172,10,"BAR OR TAVERN",155,44161
1173,10,"TAXICAB",151,44194
1174,10,"DAY CARE CENTER",133,44221
1175,10,"CAR WASH",129,44256
1176,10,"CTA STATION",120,44284
1177,10,"OTHER COMMERCIAL TRANSPORTATION",112,44315
1178,10,"APPLIANCE STORE",101,44366
1179,10,"SPORTS ARENA/STADIUM",94,44401
1180,10,"DELIVERY TRUCK",81,44441
1181,10,"FEDERAL BUILDING",72,44475
1182,10,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",65,44511
1183,10,"HIGHWAY/EXPRESSWAY",49,44577
1184,10,"FIRE STATION",46,44615
1185,10,"COLLEGE/UNIVERSITY RESIDENCE HALL",44,44647
1186,10,"PAWN SHOP",42,44700
1187,10,"COIN OPERATED MACHINE",41,44729
1188,10,"ANIMAL HOSPITAL",41,44770
1189,10,"POOL ROOM",39,44805
1190,10,"JAIL / LOCK-UP FACILITY",35,44834
1191,10,"MOVIE HOUSE/THEATER",34,44877
1192,10,"CREDIT UNION",33,44916
1193,10,"AIRPORT PARKING LOT",31,44948
1194,10,"AIRPORT VENDING ESTABLISHMENT",30,44987
1195,10,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",27,45036
1196,10,"AIRPORT EXTERIOR - NON-SECURE AREA",25,45103
1197,10,"LAKEFRONT/WATERFRONT/RIVERBANK",23,45157
1198,10,"AUTO",22,45207
1199,10,"BOAT/WATERCRAFT",21,45231
1200,10,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",21,45266
1201,10,"AIRCRAFT",19,45332
1202,10,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",19,45360
1203,10,"SAVINGS AND LOAN",19,45423
1204,10,"CEMETARY",18,45459
1205,10,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",17,45487
1206,10,"VEHICLE - OTHER RIDE SERVICE",15,45549
1207,10,"BRIDGE",15,45597
1208,10,"FOREST PRESERVE",14,45623
1209,10,"NEWSSTAND",14,45658
1210,10,"BOWLING ALLEY",12,45687
1211,10,"HOUSE",12,45720
1212,10,"AIRPORT EXTERIOR - SECURE AREA",6,45745
1213,10,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",5,45795
1214,10,"PORCH",4,45859
1215,10,"PARKING LOT",3,45884
1216,10,"CHA HALLWAY",3,45915
1217,10,"GARAGE",3,45946
1218,10,"RETAIL STORE",2,45972
1219,10,"STAIRWELL",2,46004
1220,10,"YARD",2,46033
1221,10,"RAILROAD PROPERTY",2,46057
1222,10,"HOTEL",2,46094
1223,10,"AIRPORT TRANSPORTATION SYSTEM (ATS)",1,46119
1224,10,"CHA PLAY LOT",1,46174
1225,10,"MOTEL",1,46206
1226,10,"NURSING HOME",1,46231
1227,10,"CHA GROUNDS",1,46263
1228,10,"LAUNDRY ROOM",1,46294
1229,10,"CTA TRACKS - RIGHT OF WAY",1,46326
1230,10,"GARAGE/AUTO REPAIR",1,46371
1231,10,"RIVER BANK",1,46409
1232,10,"CHA STAIRWELL",1,46439
1233,10,"GANGWAY",1,46472
1234,10,"VACANT LOT",1,46499
1235,10,"VEHICLE - DELIVERY TRUCK",1,46529
1236,11,"STREET",58492,46573
1237,11,"RESIDENCE",49985,46599
1238,11,"SIDEWALK",28258,46628
1239,11,"APARTMENT",26763,46656
1240,11,"SCHOOL, PUBLIC, BUILDING",16937,46685
1241,11,"OTHER",11940,46729
1242,11,"PARKING LOT/GARAGE(NON.RESID.)",8540,46754
1243,11,"SMALL RETAIL STORE",6922,46804
1244,11,"ALLEY",6356,46842
1245,11,"RESIDENCE PORCH/HALLWAY",5020,46867
1246,11,"GROCERY FOOD STORE",4621,46910
1247,11,"VEHICLE NON-COMMERCIAL",4329,46948
1248,11,"DEPARTMENT STORE",4307,46990
1249,11,"RESIDENCE-GARAGE",3869,47026
1250,11,"RESTAURANT",3585,47062
1251,11,"CHA PARKING LOT/GROUNDS",3080,47092
1252,11,"COMMERCIAL / BUSINESS OFFICE",2669,47135
1253,11,"GAS STATION",2597,47183
1254,11,"RESIDENTIAL YARD (FRONT/BACK)",2524,47214
1255,11,"DRUG STORE",1852,47263
1256,11,"CTA PLATFORM",1738,47293
1257,11,"PARK PROPERTY",1716,47325
1258,11,"CHA APARTMENT",1617,47358
1259,11,"BANK",1501,47391
1260,11,"CHA HALLWAY/STAIRWELL/ELEVATOR",1407,47415
1261,11,"SCHOOL, PUBLIC, GROUNDS",1389,47465
1262,11,"VACANT LOT/LAND",1378,47508
1263,11,"GOVERNMENT BUILDING/PROPERTY",1187,47543
1264,11,"SCHOOL, PRIVATE, BUILDING",1008,47591
1265,11,"HOTEL/MOTEL",981,47636
1266,11,"HOSPITAL BUILDING/GROUNDS",975,47667
1267,11,"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",838,47712
1268,11,"CTA BUS",798,47765
1269,11,"ABANDONED BUILDING",746,47792
1270,11,"AIRPORT/AIRCRAFT",722,47830
1271,11,"CTA TRAIN",683,47866
1272,11,"CONVENIENCE STORE",619,47895
1273,11,"NURSING HOME/RETIREMENT HOME",613,47932
1274,11,"POLICE FACILITY/VEH PARKING LOT",597,47980
1275,11,"CURRENCY EXCHANGE",550,48031
1276,11,"CTA GARAGE / OTHER PROPERTY",544,48068
1277,11,"MEDICAL/DENTAL OFFICE",532,48115
1278,11,"TAVERN/LIQUOR STORE",526,48156
1279,11,"WAREHOUSE",506,48195
1280,11,"DRIVEWAY - RESIDENTIAL",483,48224
1281,11,"ATHLETIC CLUB",450,48266
1282,11,"CONSTRUCTION SITE",446,48299
1283,11,"COLLEGE/UNIVERSITY GROUNDS",424,48336
1284,11,"LIBRARY",367,48382
1285,11,"BARBERSHOP",314,48409
1286,11,"VEHICLE-COMMERCIAL",312,48439
1287,11,"FACTORY/MANUFACTURING BUILDING",302,48477
1288,11,"CTA BUS STOP",255,48527
1289,11,"BAR OR TAVERN",237,48559
1290,11,"ATM (AUTOMATIC TELLER MACHINE)",222,48592
1291,11,"CLEANING STORE",221,48642
1292,11,"SCHOOL, PRIVATE, GROUNDS",220,48676
1293,11,"TAXICAB",197,48720
1294,11,"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",193,48747
1295,11,"OTHER RAILROAD PROP / TRAIN DEPOT",182,48809
1296,11,"",175,48862
1297,11,"CAR WASH",168,48882
1298,11,"DAY CARE CENTER",125,48910
1299,11,"OTHER COMMERCIAL TRANSPORTATION",115,48945
1300,11,"SPORTS ARENA/STADIUM",113,48996
1301,11,"APPLIANCE STORE",93,49036
1302,11,"CTA STATION",92,49071
1303,11,"DELIVERY TRUCK",82,49102
1304,11,"FEDERAL BUILDING",76,49136
1305,11,"COLLEGE/UNIVERSITY RESIDENCE HALL",59,49172
1306,11,"MOVIE HOUSE/THEATER",55,49225
1307,11,"COIN OPERATED MACHINE",45,49264
1308,11,"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",45,49305
1309,11,"HIGHWAY/EXPRESSWAY",40,49371
1310,11,"PAWN SHOP",39,49409
1311,11,"AIRPORT VENDING ESTABLISHMENT",38,49438
1312,11,"ANIMAL HOSPITAL",32,49487
1313,11,"POOL ROOM",32,49522
1314,11,"LAKEFRONT/WATERFRONT/RIVERBANK",31,49551
1315,11,"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",30,49601
1316,11,"JAIL / LOCK-UP FACILITY",29,49667
1317,11,"FIRE STATION",28,49710
1318,11,"CEMETARY",27,49742
1319,11,"AIRPORT PARKING LOT",27,49770
1320,11,"CREDIT UNION",24,49809
1321,11,"AIRPORT EXTERIOR - NON-SECURE AREA",24,49841
1322,11,"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",22,49895
1323,11,"HOUSE",21,49962
1324,11,"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",20,49987
1325,11,"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",20,50050
1326,11,"FOREST PRESERVE",19,50112
1327,11,"AUTO",19,50147
1328,11,"AIRCRAFT",19,50171
1329,11,"SAVINGS AND LOAN",15,50199
1330,11,"BOAT/WATERCRAFT",15,50235
1331,11,"NEWSSTAND",12,50270
1332,11,"BRIDGE",12,50299
1333,11,"AIRPORT EXTERIOR - SECURE AREA",9,50325
1334,11,"VEHICLE - OTHER RIDE SERVICE",8,50375
1335,11,"BOWLING ALLEY",8,50423
1336,11,"VEHICLE - DELIVERY TRUCK",8,50456
1337,11,"PORCH",7,50500
1338,11,"YARD",6,50525
1339,11,"AIRPORT TRANSPORTATION SYSTEM (ATS)",5,50549
1340,11,"RETAIL STORE",3,50604
1341,11,"CHA STAIRWELL",3,50636
1342,11,"CHURCH",2,50669
1343,11,"RIVER",2,50695
1344,11,"CHA GROUNDS",2,50720
1345,11,"RAILROAD PROPERTY",2,50751
1346,11,"CHA HALLWAY",2,50788
1347,11,"HALLWAY",2,50819
1348,11,"CTA TRACKS - RIGHT OF WAY",2,50846
1349,11,"VESTIBULE",2,50891
1350,11,"GARAGE",1,50920
1351,11,"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",1,50946
1352,11,"GANGWAY",1,51010
1353,11,"COUNTY JAIL",1,51037
1354,11,"VACANT LOT",1,51068
1355,11,"BASEMENT",1,51098
1356,11,"BARBER SHOP/BEAUTY SALON",1,51126
1357,12,"STREET",108925,51170
1358,12,"RESIDENCE",78961,51196
1359,12,"APARTMENT",37915,51225
1360,12,"SIDEWALK",26252,51254
1361,12,"OTHER",13496,51282
1362,12,"RESIDENCE-GARAGE",10369,51307
1363,12,"PARKING LOT/GARAGE(NON.RESID.)",7443,51343
1364,12,"ALLEY",6729,51393
1365,12,"VEHICLE NON-COMMERCIAL",6460,51418
1366,12,"RESIDENCE PORCH/HALLWAY",5580,51460
1367,12,"BAR OR TAVERN",4306,51503
1368,12,"RESTAURANT",4109,51536
1369,12,"RESIDENTIAL YARD (FRONT/BACK)",4040,51566
1370,12,"GAS STATION",3630,51615
1371,12,"BANK",2932,51646
1372,12,"SMALL RETAIL STORE",2532,51670
